"L1","L2","L3","L4"
"anthropogenic","biopesticide",,
"anthropogenic","bioreactor",,
"anthropogenic","construction","farm",
"anthropogenic","construction","greenhouse",
"anthropogenic","construction","hospital",
"anthropogenic","construction","laboratory",
"anthropogenic","construction","zoo",
"anthropogenic","construction",,
"anthropogenic","field",,
"anthropogenic","iss",,
"anthropogenic","spacecraft",,
"anthropogenic",,,
"aquatic","artificial","aquaculture","phytoplankton"
"aquatic","artificial","aquaculture",
"aquatic","artificial","aquarium",
"aquatic","artificial","pool",
"aquatic","artificial",,
"aquatic","freshwater","estuary",
"aquatic","freshwater","lake",
"aquatic","freshwater","pond","saline"
"aquatic","freshwater","pond",
"aquatic","freshwater","river",
"aquatic","freshwater","spring","acid_hot"
"aquatic","freshwater","spring","hot"
"aquatic","freshwater","spring",
"aquatic","freshwater",,
"aquatic","glacial",,
"aquatic","groundwater",,
"aquatic","lagoon",,
"aquatic","lake","alkaline",
"aquatic","marine","ocean",
"aquatic","marine","reef",
"aquatic","marine","saltern",
"aquatic","marine","sea","bay"
"aquatic","marine","sea","reef"
"aquatic","marine","sea","saline"
"aquatic","marine","sea","spring"
"aquatic","marine","sea",
"aquatic","marine",,
"aquatic","saline",,
"aquatic","spring","alkaline",
"aquatic","spring","sulfide",
"aquatic","spring","thermal",
"aquatic","spring",,
"aquatic","tapwater",,
"aquatic","wastewater","anaerobic","anaerobic_digester"
"aquatic","wastewater","anaerobic",
"aquatic","wastewater","drain",
"aquatic","wastewater","sewage",
"aquatic","wastewater","sludge","activated_sludge"
"aquatic","wastewater","sludge",
"aquatic","wastewater","wwtp",
"aquatic","wastewater",,
"aquatic","watercourse","acid_mine",
"aquatic","watercourse","backwater",
"aquatic","watercourse",,
"food","drink",,
"food","fermented",,
"food","fish",,
"food","meat",,
"food","waster",,
"food",,,
"gaseous",,,
"host_associated","abdominal","peritoneum",
"host_associated","abdominal",,
"host_associated","auditory_system",,
"host_associated","bone",,
"host_associated","circulatory_system","blood",
"host_associated","circulatory_system","heart",
"host_associated","circulatory_system",,
"host_associated","gastrointestinal_system","cecal",
"host_associated","gastrointestinal_system","colon",
"host_associated","gastrointestinal_system","fecal",
"host_associated","gastrointestinal_system","hindgut",
"host_associated","gastrointestinal_system","midgut",
"host_associated","gastrointestinal_system","rectal",
"host_associated","gastrointestinal_system","small_gut",
"host_associated","gastrointestinal_system","stomach",
"host_associated","gastrointestinal_system","mucosa",
"host_associated","gastrointestinal_system",,
"host_associated","genital","vaginal",
"host_associated","genital",,
"host_associated","gland",,
"host_associated","liver",,
"host_associated","lymphatic_system","spleen",
"host_associated","lymphatic_system",,
"host_associated","mamary",,
"host_associated","nervous_system",,
"host_associated","ocular",,
"host_associated","oral","saliva",
"host_associated","oral","tongue",
"host_associated","oral","tonsil",
"host_associated","oral",,
"host_associated","pancreas",,
"host_associated","placenta","aborted_placenta",
"host_associated","placenta",,
"host_associated","respiratory_system","airsac",
"host_associated","respiratory_system","bronchi",
"host_associated","respiratory_system","lung",
"host_associated","respiratory_system","mucus",
"host_associated","respiratory_system","nasal",
"host_associated","respiratory_system","pharinx",
"host_associated","respiratory_system","trachea",
"host_associated","respiratory_system",,
"host_associated","skin","forehead",
"host_associated","skin",,
"host_associated","urinary_system","bladder",
"host_associated","urinary_system","kidney",
"host_associated","urinary_system","urine",
"host_associated","urinary_system",,
"material","inorganic","dust",
"material","inorganic","snow",
"material","inorganic",,
"material","organic","biofilm",
"material","organic","compost",
"material","organic","oil","reservoir"
"material","organic","oil",
"material","organic",,
"soil","clay","dark_clay",
"soil","clay",,
"soil","frozen",,
"soil","grass",,
"soil","mud",,
"soil","peat",,
"soil","podzol",,
"soil","rhizosphere",,
"soil","sand",,
"soil","sediment",,
"soil",,,
"terrestrial","cave",,
"terrestrial","coast","beach",
"terrestrial","coast",,
"terrestrial","desert",,
"terrestrial","forest",,
"terrestrial","grassland",,
"terrestrial","island",,
"terrestrial","landfill",,
"terrestrial","lava",,
"terrestrial","mine","salt_mine",
"terrestrial","mine",,
"terrestrial","mountain",,
"terrestrial","orchard",,
"terrestrial","permafrost",,
"terrestrial","shore",,
"terrestrial","valley",,
"terrestrial",,,
"wetland","bog",,
"wetland","intertidal",,
"wetland","marsh","saline",
"wetland","marsh",,
"wetland","mudflat",,
"wetland","swamp",,
